Wall time,Step,Value
1497175506.934737,8,1.184862494468689
1497175514.056599,12,1.0571818351745605
1497175521.183618,16,1.045523762702942
1497175524.820473,18,1.0984904766082764
1497175528.249232,20,1.0238940715789795
1497175531.859699,22,1.0623068809509277
1497175539.062499,26,1.1293388605117798
1497175556.792643,36,0.9360549449920654
1497175563.992948,40,1.0388734340667725
1497175571.08817,44,0.9408373832702637
1497175581.848446,50,1.1614186763763428
1497175585.528038,52,1.1209995746612549
1497175592.833596,56,1.0266844034194946
1497175600.157174,60,0.9613313674926758
1497175618.21108,70,0.9334894418716431
1497175621.811215,72,0.8921443223953247
1497175625.467353,74,1.028827428817749
1497175629.059419,76,1.0613263845443726
1497175632.66618,78,0.8503875136375427
1497175636.243139,80,0.8081047534942627
1497175639.892502,82,0.9237105250358582
1497175643.48318,84,0.8945527076721191
1497175647.140821,86,0.9858183264732361
1497175654.269709,90,0.8614678382873535
1497175657.82696,92,0.8106663227081299
1497175661.450123,94,0.803844153881073
1497175668.74553,98,0.885512113571167
1497175672.328503,100,0.8632311820983887
1497175685.965773,104,0.7878411412239075
1497175692.834985,108,0.7448078393936157
1497175696.187908,110,0.7360792756080627
1497175702.995687,114,0.7775912880897522
1497175706.404467,116,0.7839159369468689
1497175709.792248,118,0.869881808757782
1497175713.210552,120,0.655218780040741
1497175751.696286,142,0.7588925361633301
1497175755.180035,144,0.7544028759002686
1497175762.177568,148,0.8223980665206909
1497175776.041235,156,0.4344627261161804
1497175789.924031,164,0.6958791017532349
1497175793.388297,166,0.6235430836677551
1497175796.914523,168,0.718575656414032
1497175800.381398,170,0.7762995958328247
1497175803.902136,172,0.6036591529846191
1497175810.905806,176,0.6878147721290588
1497175814.372793,178,0.6099281907081604
1497175817.923488,180,0.5635868310928345
1497175821.456612,182,0.6529518961906433
1497175824.937687,184,0.552347719669342
1497175828.360952,186,0.6509087085723877
1497175835.376384,190,0.623647928237915
1497175838.853374,192,0.6808466911315918
1497175849.171686,198,0.5475466251373291
1497175865.78314,204,0.5009049773216248
1497175869.254404,206,0.3832439184188843
1497175879.469456,212,0.4012954533100128
1497175882.782795,214,0.6069538593292236
1497175886.261574,216,0.614642858505249
1497175889.65334,218,0.651584267616272
1497175907.175654,228,0.5034996271133423
1497175910.67538,230,0.6073908805847168
1497175917.608509,234,0.6330858469009399
1497175938.554212,246,0.5488041043281555
1497175942.105298,248,0.6279579997062683
1497175945.523604,250,0.6044267416000366
1497175952.556022,254,0.5292205214500427
1497175963.010889,260,0.49558183550834656
1497175973.453881,266,0.29380181431770325
1497175976.985582,268,0.3873522877693176
1497175983.949888,272,0.3508794903755188
1497175990.96833,276,0.3619375228881836
1497175994.384981,278,0.4453408718109131
1497175997.848789,280,0.42076992988586426
1497176001.261809,282,0.6038335561752319
1497176008.220568,286,0.6453181505203247
1497176018.652922,292,0.6568005084991455
1497176022.124242,294,0.6438775062561035
1497176025.648855,296,0.661675214767456
1497176032.50634,300,0.631432056427002
1497176042.636818,302,0.5937176942825317
1497176056.267935,310,0.44936859607696533
1497176059.613334,312,0.4523894190788269
1497176066.471277,316,0.370033323764801
1497176073.32359,320,0.21204465627670288
1497176076.849306,322,0.19700109958648682
1497176080.425117,324,0.1977340131998062
1497176090.96565,330,0.47834616899490356
1497176097.882154,334,0.6350791454315186
1497176101.334673,336,0.6684628129005432
1497176108.243285,340,0.6446141600608826
1497176111.757591,342,0.633957028388977
1497176125.619105,350,0.5855967402458191
1497176129.146906,352,0.5715775489807129
1497176132.652412,354,0.5203346610069275
1497176143.135538,360,0.35507306456565857
1497176146.616593,362,0.33455997705459595
1497176150.011775,364,0.16128608584403992
1497176153.501532,366,0.3327673673629761
1497176160.53645,370,0.2673632502555847
1497176164.051558,372,0.25775426626205444
1497176167.577456,374,0.3108707368373871
1497176171.010048,376,0.3537389039993286
1497176174.523594,378,0.43730032444000244
1497176177.936939,380,0.5002689361572266
1497176188.405558,386,0.649443507194519
1497176191.963879,388,0.6308043003082275
1497176195.390772,390,0.6606937050819397
1497176202.47187,394,0.6002699136734009
1497176209.425818,398,0.6123906373977661
1497176212.939867,400,0.576849102973938
1497176223.281892,402,0.5380846261978149
1497176226.754135,404,0.5316476821899414
1497176236.879732,410,0.4602451026439667
1497176240.348776,412,0.4494350552558899
1497176247.171396,416,0.37997955083847046
1497176257.421177,422,0.33792924880981445
1497176260.985223,424,0.24278736114501953
1497176271.471482,430,0.18243680894374847
1497176275.046916,432,0.25522086024284363
1497176285.744933,438,0.5838420391082764
1497176289.284684,440,0.5673511028289795
1497176292.78649,442,0.5698579549789429
1497176296.266084,444,0.5819264650344849
1497176299.718424,446,0.6100044250488281
1497176303.25934,448,0.6151860952377319
1497176306.807767,450,0.5874022245407104
1497176317.202236,456,0.5458243489265442
1497176324.182505,460,0.4535522162914276
1497176327.653305,462,0.4476509094238281
1497176331.19104,464,0.43434980511665344
1497176334.747426,466,0.42844414710998535
1497176338.293291,468,0.40693262219429016
1497176345.283006,472,0.40724554657936096
1497176348.787625,474,0.3085229992866516
1497176352.329222,476,0.32825037837028503
1497176355.857131,478,0.33115464448928833
1497176366.321887,484,0.20316743850708008
1497176369.815322,486,0.21843770146369934
1497176373.346731,488,0.1519186943769455
1497176380.192468,492,0.35853520035743713
1497176387.131845,496,0.43594565987586975
1497176390.628746,498,0.41174983978271484
1497176407.834302,504,0.41533219814300537
1497176414.6503,508,0.3663298487663269
1497176438.855766,522,0.4100392758846283
1497176446.003506,526,0.34694361686706543
1497176453.103639,530,0.44389650225639343
1497176474.114793,542,0.36404097080230713
1497176484.694461,548,0.3217911124229431
1497176488.208274,550,0.2690284550189972
1497176491.696326,552,0.26661521196365356
1497176498.736135,556,0.22270917892456055
1497176502.297701,558,0.23540149629116058
1497176509.32698,562,0.3862819969654083
1497176512.850573,564,0.5078821778297424
1497176523.306793,570,0.5071560740470886
1497176526.772679,572,0.4795408844947815
1497176533.865861,576,0.47443926334381104
1497176537.477399,578,0.47967031598091125
1497176547.907586,584,0.4347905218601227
1497176551.443621,586,0.4518738389015198
1497176554.94908,588,0.3608859181404114
1497176558.414445,590,0.4697970151901245
1497176561.92973,592,0.4540714919567108
1497176565.391751,594,0.32541391253471375
1497176568.890447,596,0.3842228055000305
1497176572.406418,598,0.4655238091945648
1497176575.901414,600,0.4249139130115509
1497176586.313007,602,0.38305214047431946
1497176593.17178,606,0.3604348599910736
1497176600.036704,610,0.3752847909927368
1497176617.194831,620,0.3309936225414276
1497176620.707328,622,0.2981652617454529
1497176627.908737,626,0.26416638493537903
1497176631.524427,628,0.3237430155277252
1497176635.029506,630,0.26335465908050537
1497176642.09951,634,0.2642224431037903
1497176649.108629,638,0.3112029731273651
1497176652.593195,640,0.34316474199295044
1497176663.167177,646,0.37667495012283325
1497176673.707167,652,0.32742002606391907
1497176680.703414,656,0.4022638201713562
1497176684.169656,658,0.39912235736846924
1497176691.197403,662,0.35993844270706177
1497176694.754338,664,0.32801464200019836
1497176705.197868,670,0.3027787506580353
1497176708.638606,672,0.330343097448349
1497176712.090774,674,0.3263976573944092
1497176719.075355,678,0.3795318305492401
1497176722.660632,680,0.40297186374664307
1497176726.138465,682,0.3606662452220917
1497176729.614121,684,0.3378819525241852
1497176733.052292,686,0.3591019809246063
1497176736.575892,688,0.38951629400253296
1497176740.07914,690,0.4113041162490845
1497176743.612793,692,0.3669893741607666
1497176750.577658,696,0.3221476972103119
1497176754.014114,698,0.3425692915916443
1497176767.607663,702,0.3392777144908905
1497176781.283392,710,0.30494606494903564
1497176784.686727,712,0.3620472848415375
1497176788.112559,714,0.33167457580566406
1497176791.527173,716,0.4027859568595886
1497176798.504847,720,0.26488828659057617
1497176802.07642,722,0.28866952657699585
1497176809.040852,726,0.3164316415786743
1497176816.021919,730,0.29776787757873535
1497176823.025608,734,0.3010573983192444
1497176826.522012,736,0.2962336838245392
1497176829.963228,738,0.38779789209365845
1497176833.503446,740,0.2917516827583313
1497176840.438412,744,0.32088688015937805
1497176850.88954,750,0.2921546697616577
1497176854.341752,752,0.26221412420272827
1497176861.278615,756,0.39000093936920166
1497176868.261071,760,0.2770179510116577
1497176871.734899,762,0.3679273724555969
1497176878.648957,766,0.39132124185562134
