Wall time,Step,Value
1497175506.934737,8,0.8548092246055603
1497175514.056599,12,0.8573161959648132
1497175521.183618,16,0.8587530851364136
1497175524.820473,18,0.8537825345993042
1497175528.249232,20,0.8556213974952698
1497175531.859699,22,0.8505890965461731
1497175539.062499,26,0.8289595246315002
1497175556.792643,36,0.7444742321968079
1497175563.992948,40,0.7058531641960144
1497175571.08817,44,0.6897224187850952
1497175581.848446,50,0.7616943120956421
1497175585.528038,52,0.6919259428977966
1497175592.833596,56,0.7081186175346375
1497175600.157174,60,0.7733277678489685
1497175618.21108,70,0.6391199827194214
1497175621.811215,72,0.692595362663269
1497175625.467353,74,0.6967706084251404
1497175629.059419,76,0.6825690269470215
1497175632.66618,78,0.7324904799461365
1497175636.243139,80,0.7023206353187561
1497175639.892502,82,0.6545729637145996
1497175643.48318,84,0.7132940292358398
1497175647.140821,86,0.7315093874931335
1497175654.269709,90,0.7140797972679138
1497175657.82696,92,0.8064249157905579
1497175661.450123,94,0.647491455078125
1497175668.74553,98,0.6344472169876099
1497175672.328503,100,0.6916705965995789
1497175685.965773,104,0.6944706439971924
1497175692.834985,108,0.7275762557983398
1497175696.187908,110,0.735625147819519
1497175702.995687,114,0.768873929977417
1497175706.404467,116,0.713060200214386
1497175709.792248,118,0.7838137745857239
1497175713.210552,120,0.7062585353851318
1497175751.696286,142,0.7031015157699585
1497175755.180035,144,0.7161881923675537
1497175762.177568,148,0.7555493116378784
1497175776.041235,156,0.6698428392410278
1497175789.924031,164,0.7829533815383911
1497175793.388297,166,0.698708713054657
1497175796.914523,168,0.6675237417221069
1497175800.381398,170,0.7708194851875305
1497175803.902136,172,0.7698558568954468
1497175810.905806,176,0.8073261380195618
1497175814.372793,178,0.6804079413414001
1497175817.923488,180,0.7147213816642761
1497175821.456612,182,0.7594754695892334
1497175824.937687,184,0.7308854460716248
1497175828.360952,186,0.7533438205718994
1497175835.376384,190,0.614829957485199
1497175838.853374,192,0.6232683658599854
1497175849.171686,198,0.6712436079978943
1497175865.78314,204,0.6713083386421204
1497175869.254404,206,0.6253505945205688
1497175879.469456,212,0.7039285898208618
1497175882.782795,214,0.7183418869972229
1497175886.261574,216,0.6929532885551453
1497175889.65334,218,0.715540885925293
1497175907.175654,228,0.6522032618522644
1497175910.67538,230,0.6300053000450134
1497175917.608509,234,0.6394545435905457
1497175938.554212,246,0.6773873567581177
1497175942.105298,248,0.6779254078865051
1497175945.523604,250,0.7415025234222412
1497175952.556022,254,0.6761015057563782
1497175963.010889,260,0.6525689959526062
1497175973.453881,266,0.6548438668251038
1497175976.985582,268,0.6299365162849426
1497175983.949888,272,0.6199074387550354
1497175990.96833,276,0.6459023952484131
1497175994.384981,278,0.6659079194068909
1497175997.848789,280,0.6259608864784241
1497176001.261809,282,0.6218989491462708
1497176008.220568,286,0.6166385412216187
1497176018.652922,292,0.6412397623062134
1497176022.124242,294,0.6465656757354736
1497176025.648855,296,0.7277143597602844
1497176032.50634,300,0.6438817381858826
1497176042.636818,302,0.6577950119972229
1497176056.267935,310,0.6347848773002625
1497176059.613334,312,0.6162179112434387
1497176066.471277,316,0.6379340887069702
1497176073.32359,320,0.6471256017684937
1497176076.849306,322,0.631273090839386
1497176080.425117,324,0.6157218217849731
1497176090.96565,330,0.6040407419204712
1497176097.882154,334,0.6584250926971436
1497176101.334673,336,0.724337100982666
1497176108.243285,340,0.6679416298866272
1497176111.757591,342,0.6818910837173462
1497176125.619105,350,0.6308216452598572
1497176129.146906,352,0.6898478865623474
1497176132.652412,354,0.6999037861824036
1497176143.135538,360,0.6512683629989624
1497176146.616593,362,0.6285383701324463
1497176150.011775,364,0.642024040222168
1497176153.501532,366,0.5948516130447388
1497176160.53645,370,0.6093400716781616
1497176164.051558,372,0.6095231771469116
1497176167.577456,374,0.6232703328132629
1497176171.010048,376,0.6158456802368164
1497176174.523594,378,0.6313939690589905
1497176177.936939,380,0.6410273909568787
1497176188.405558,386,0.5971658825874329
1497176191.963879,388,0.6640266180038452
1497176195.390772,390,0.6061667203903198
1497176202.47187,394,0.6089222431182861
1497176209.425818,398,0.6208232045173645
1497176212.939867,400,0.6518613696098328
1497176223.281892,402,0.6878613233566284
1497176226.754135,404,0.6173042058944702
1497176236.879732,410,0.6081445217132568
1497176240.348776,412,0.5760864019393921
1497176247.171396,416,0.6491513252258301
1497176257.421177,422,0.6361035704612732
1497176260.985223,424,0.5810818672180176
1497176271.471482,430,0.571455180644989
1497176275.046916,432,0.6287059783935547
1497176285.744933,438,0.6654024124145508
1497176289.284684,440,0.6836367845535278
1497176292.78649,442,0.7956379055976868
1497176296.266084,444,0.675815224647522
1497176299.718424,446,0.5952996611595154
1497176303.25934,448,0.6033457517623901
1497176306.807767,450,0.5860559940338135
1497176317.202236,456,0.6275457143783569
1497176324.182505,460,0.5800008177757263
1497176327.653305,462,0.6109836101531982
1497176331.19104,464,0.6320865750312805
1497176334.747426,466,0.5775901079177856
1497176338.293291,468,0.6174181699752808
1497176345.283006,472,0.6442902684211731
1497176348.787625,474,0.5977449417114258
1497176352.329222,476,0.5910453200340271
1497176355.857131,478,0.6034513115882874
1497176366.321887,484,0.583997905254364
1497176369.815322,486,0.6249622702598572
1497176373.346731,488,0.6158140301704407
1497176380.192468,492,0.708001434803009
1497176387.131845,496,0.5806416273117065
1497176390.628746,498,0.5643864870071411
1497176407.834302,504,0.5731435418128967
1497176414.6503,508,0.6057634353637695
1497176438.855766,522,0.5936034917831421
1497176446.003506,526,0.615251898765564
1497176453.103639,530,0.6097727417945862
1497176474.114793,542,0.5988324880599976
1497176484.694461,548,0.6319207549095154
1497176488.208274,550,0.6491095423698425
1497176491.696326,552,0.6655418276786804
1497176498.736135,556,0.5678427815437317
1497176502.297701,558,0.5830178260803223
1497176509.32698,562,0.611498236656189
1497176512.850573,564,0.5969690084457397
1497176523.306793,570,0.5619456171989441
1497176526.772679,572,0.5687223076820374
1497176533.865861,576,0.5626223683357239
1497176537.477399,578,0.5856631398200989
1497176547.907586,584,0.5387765169143677
1497176551.443621,586,0.5414902567863464
1497176554.94908,588,0.6186914443969727
1497176558.414445,590,0.5504332780838013
1497176561.92973,592,0.6560181975364685
1497176565.391751,594,0.5973211526870728
1497176568.890447,596,0.5755585432052612
1497176572.406418,598,0.549855649471283
1497176575.901414,600,0.5713197588920593
1497176586.313007,602,0.5818082094192505
1497176593.17178,606,0.5786473155021667
1497176600.036704,610,0.5869345664978027
1497176617.194831,620,0.5818247199058533
1497176620.707328,622,0.5974054336547852
1497176627.908737,626,0.561614453792572
1497176631.524427,628,0.5625655055046082
1497176635.029506,630,0.595386266708374
1497176642.09951,634,0.5783869624137878
1497176649.108629,638,0.5669664740562439
1497176652.593195,640,0.538402795791626
1497176663.167177,646,0.5447784662246704
1497176673.707167,652,0.5348066687583923
1497176680.703414,656,0.5377349257469177
1497176684.169656,658,0.5609934329986572
1497176691.197403,662,0.5510287284851074
1497176694.754338,664,0.5630024075508118
1497176705.197868,670,0.5381172895431519
1497176708.638606,672,0.5511366724967957
1497176712.090774,674,0.5506056547164917
1497176719.075355,678,0.5417490005493164
1497176722.660632,680,0.6776422262191772
1497176726.138465,682,0.5639473795890808
1497176729.614121,684,0.6113107800483704
1497176733.052292,686,0.5520539283752441
1497176736.575892,688,0.5722945332527161
1497176740.07914,690,0.5861752033233643
1497176743.612793,692,0.5422666668891907
1497176750.577658,696,0.5492298007011414
1497176754.014114,698,0.5550550818443298
1497176767.607663,702,0.5392714738845825
1497176781.283392,710,0.5632107853889465
1497176784.686727,712,0.5517289638519287
1497176788.112559,714,0.5498253107070923
1497176791.527173,716,0.5586090683937073
1497176798.504847,720,0.5311786532402039
1497176802.07642,722,0.5283340811729431
1497176809.040852,726,0.5496041178703308
1497176816.021919,730,0.5523355603218079
1497176823.025608,734,0.5202447175979614
1497176826.522012,736,0.6042402386665344
1497176829.963228,738,0.5563485026359558
1497176833.503446,740,0.5611487030982971
1497176840.438412,744,0.5447949767112732
1497176850.88954,750,0.5180174708366394
1497176854.341752,752,0.5178678035736084
1497176861.278615,756,0.5637174248695374
1497176868.261071,760,0.5732733011245728
1497176871.734899,762,0.5289890766143799
1497176878.648957,766,0.5617383718490601
1497176882.122744,768,0.5405092239379883
1497176885.57031,770,0.5232415199279785
1497176889.074774,772,0.5275000333786011
1497176892.631722,774,0.5435550212860107
1497176896.166173,776,0.5488845109939575
1497176910.058167,784,0.5542067289352417
1497176913.569296,786,0.5904490351676941
1497176920.632641,790,0.5422971248626709
1497176924.169448,792,0.5408728718757629
1497176931.217856,796,0.5284417271614075
1497176934.763589,798,0.5340069532394409
1497176948.376199,802,0.554455041885376
1497176951.859469,804,0.5306167006492615
1497176955.320674,806,0.5264189839363098
1497176958.698068,808,0.5207662582397461
1497176962.115979,810,0.5522544384002686
1497176965.584381,812,0.5390600562095642
1497176968.960078,814,0.5271755456924438
1497176979.349839,820,0.551450252532959
1497176986.453016,824,0.553948700428009
1497176993.627087,828,0.5188686847686768
1497177000.634563,832,0.5346623063087463
1497177004.144556,834,0.5473208427429199
1497177011.199278,838,0.573737621307373
1497177025.234143,846,0.5330119132995605
1497177032.245358,850,0.5235354900360107
1497177035.778079,852,0.5213052034378052
1497177039.285044,854,0.5328373312950134
1497177049.739346,860,0.53049236536026
1497177056.752261,864,0.5456480383872986
1497177063.784014,868,0.5092580914497375
1497177067.245686,870,0.5021633505821228
1497177070.846356,872,0.5147730708122253
1497177074.341758,874,0.539205014705658
1497177081.403561,878,0.5734319686889648
1497177084.884546,880,0.54137122631073
1497177088.363174,882,0.5226775407791138
1497177098.999451,888,0.524779200553894
1497177102.48556,890,0.5062013864517212
1497177109.563047,894,0.49106675386428833
1497177113.095636,896,0.5389299392700195
1497177120.205384,900,0.5579324960708618
1497177137.669944,906,0.575965404510498
1497177144.607355,910,0.5384050011634827
1497177148.08285,912,0.5597870945930481
1497177151.591975,914,0.5104653835296631
1497177155.014757,916,0.5285218358039856
1497177165.348273,922,0.5183001756668091
1497177183.075715,932,0.5064291954040527
1497177186.609307,934,0.5005593299865723
1497177190.106591,936,0.5226807594299316
1497177204.003153,944,0.5146729946136475
1497177207.470705,946,0.5797710418701172
1497177210.964399,948,0.5465435981750488
1497177221.436929,954,0.5048689246177673
1497177224.937746,956,0.5241868495941162
1497177228.486154,958,0.5503460764884949
1497177238.983947,964,0.5396472215652466
1497177242.501167,966,0.5030648112297058
1497177246.019072,968,0.48714083433151245
1497177256.479268,974,0.5073862671852112
1497177259.987178,976,0.5275691151618958
1497177263.498549,978,0.6322861909866333
1497177270.511865,982,0.5421459674835205
1497177277.543638,986,0.4915587306022644
1497177280.972766,988,0.5043156743049622
1497177291.336647,994,0.4957572817802429
1497177298.269477,998,0.5450730919837952
1497177301.768666,1000,0.5042563676834106
1497177312.111233,1002,0.5564027428627014
1497177322.262999,1008,0.5297993421554565
1497177325.599027,1010,0.5162291526794434
1497177332.461081,1014,0.5732400417327881
1497177339.29652,1018,0.5100921988487244
1497177342.820883,1020,0.5715413093566895
1497177346.356499,1022,0.5369012951850891
1497177353.517081,1026,0.4958762526512146
1497177356.957121,1028,0.5141661763191223
1497177360.468623,1030,0.5074559450149536
1497177370.851983,1036,0.5078814625740051
1497177374.343275,1038,0.5045443773269653
1497177377.85105,1040,0.5039654970169067
1497177381.327888,1042,0.5002726912498474
1497177384.83868,1044,0.536632776260376
1497177388.327892,1046,0.547459602355957
1497177391.817987,1048,0.4970836937427521
1497177395.322832,1050,0.4847787022590637
1497177398.779533,1052,0.482654333114624
1497177409.163682,1058,0.4734868109226227
1497177416.108485,1062,0.4911641478538513
1497177419.510278,1064,0.5137940049171448
1497177430.033629,1070,0.4675365090370178
1497177437.082562,1074,0.47476446628570557
1497177447.570298,1080,0.4820668399333954
1497177454.586803,1084,0.5637626051902771
1497177461.51272,1088,0.47641950845718384
1497177471.975222,1094,0.5362836718559265
1497177475.481935,1096,0.5033515095710754
1497177478.955084,1098,0.5285691618919373
1497177482.44261,1100,0.4846252202987671
1497177492.618194,1102,0.5136353969573975
1497177496.031683,1104,0.5039686560630798
1497177499.417816,1106,0.49449729919433594
1497177502.82305,1108,0.5118889212608337
1497177509.606918,1112,0.47812098264694214
1497177513.015797,1114,0.4851113557815552
1497177516.409721,1116,0.48968246579170227
1497177519.881037,1118,0.47362735867500305
1497177523.322178,1120,0.5033771991729736
1497177526.885041,1122,0.4750741720199585
1497177534.02701,1126,0.5187513828277588
1497177537.56248,1128,0.4699375331401825
1497177541.067622,1130,0.47405415773391724
1497177548.053955,1134,0.5243563055992126
1497177555.005475,1138,0.4817153811454773
1497177565.372841,1144,0.5215327739715576
1497177568.91373,1146,0.4756374955177307
1497177572.431013,1148,0.49693578481674194
1497177582.838761,1154,0.4776468276977539
1497177586.293135,1156,0.48799556493759155
1497177593.300028,1160,0.4811569154262543
1497177596.845065,1162,0.5157766938209534
1497177600.300033,1164,0.47494179010391235
